Index,Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Rented Bike Count,Autumn,Spring,Summer,Winter,Holiday,No Holiday,Func _No,Func _Yes
0,0,-5.2,37,2.2,2000,-17.6,0.0,0.0,0.0,254,0,0,0,1,0,1,0,1
1,1,-5.5,38,0.8,2000,-17.6,0.0,0.0,0.0,204,0,0,0,1,0,1,0,1
2,2,-6.0,39,1.0,2000,-17.7,0.0,0.0,0.0,173,0,0,0,1,0,1,0,1
3,3,-6.2,40,0.9,2000,-17.6,0.0,0.0,0.0,107,0,0,0,1,0,1,0,1
4,4,-6.0,36,2.3,2000,-18.6,0.0,0.0,0.0,78,0,0,0,1,0,1,0,1
5,5,-6.4,37,1.5,2000,-18.7,0.0,0.0,0.0,100,0,0,0,1,0,1,0,1
6,6,-6.6,35,1.3,2000,-19.5,0.0,0.0,0.0,181,0,0,0,1,0,1,0,1
7,7,-7.4,38,0.9,2000,-19.3,0.0,0.0,0.0,460,0,0,0,1,0,1,0,1
8,8,-7.6,37,1.1,2000,-19.8,0.01,0.0,0.0,930,0,0,0,1,0,1,0,1
9,9,-6.5,27,0.5,1928,-22.4,0.23,0.0,0.0,490,0,0,0,1,0,1,0,1
10,10,-3.5,24,1.2,1996,-21.2,0.65,0.0,0.0,339,0,0,0,1,0,1,0,1
11,11,-0.5,21,1.3,1936,-20.2,0.94,0.0,0.0,360,0,0,0,1,0,1,0,1
12,12,1.7,23,1.4,2000,-17.2,1.11,0.0,0.0,449,0,0,0,1,0,1,0,1
13,13,2.4,25,1.6,2000,-15.6,1.16,0.0,0.0,451,0,0,0,1,0,1,0,1
14,14,3.0,26,2.0,2000,-14.6,1.01,0.0,0.0,447,0,0,0,1,0,1,0,1
15,15,2.1,36,3.2,2000,-11.4,0.54,0.0,0.0,463,0,0,0,1,0,1,0,1
16,16,1.2,54,4.2,793,-7.0,0.24,0.0,0.0,484,0,0,0,1,0,1,0,1
17,17,0.8,58,1.6,2000,-6.5,0.08,0.0,0.0,555,0,0,0,1,0,1,0,1
18,18,0.6,66,1.4,2000,-5.0,0.0,0.0,0.0,862,0,0,0,1,0,1,0,1
19,19,0.0,77,1.7,2000,-3.5,0.0,0.0,0.0,600,0,0,0,1,0,1,0,1
20,20,-0.3,79,1.5,1913,-3.5,0.0,0.0,0.0,426,0,0,0,1,0,1,0,1
21,21,-0.8,81,0.8,1687,-3.6,0.0,0.0,0.0,405,0,0,0,1,0,1,0,1
22,22,-0.9,83,1.5,1380,-3.4,0.0,0.0,0.0,398,0,0,0,1,0,1,0,1
23,23,-1.3,84,1.0,1265,-3.6,0.0,0.0,0.0,323,0,0,0,1,0,1,0,1
24,0,-1.8,87,1.1,994,-3.6,0.0,0.0,0.0,328,0,0,0,1,0,1,0,1
25,1,-2.2,86,0.6,990,-4.2,0.0,0.0,0.0,308,0,0,0,1,0,1,0,1
26,2,-2.9,86,1.5,1256,-4.9,0.0,0.0,0.0,262,0,0,0,1,0,1,0,1
27,3,-3.5,81,2.2,1221,-6.2,0.0,0.0,0.0,167,0,0,0,1,0,1,0,1
28,4,-3.8,79,2.0,1167,-6.9,0.0,0.0,0.0,89,0,0,0,1,0,1,0,1
29,5,-4.0,79,1.5,1202,-7.1,0.0,0.0,0.0,79,0,0,0,1,0,1,0,1
30,6,-4.3,82,2.1,1178,-6.9,0.0,0.0,0.0,70,0,0,0,1,0,1,0,1
31,7,-4.4,81,2.5,1276,-7.1,0.0,0.0,0.0,146,0,0,0,1,0,1,0,1
32,8,-4.2,79,2.1,1436,-7.3,0.01,0.0,0.0,219,0,0,0,1,0,1,0,1
33,9,-2.9,68,1.6,1487,-7.9,0.3,0.0,0.0,328,0,0,0,1,0,1,0,1
34,10,-0.4,57,1.6,1309,-7.8,0.8,0.0,0.0,334,0,0,0,1,0,1,0,1
35,11,1.9,49,1.8,1406,-7.7,1.0,0.0,0.0,388,0,0,0,1,0,1,0,1
36,12,4.3,41,1.3,1666,-7.8,1.09,0.0,0.0,479,0,0,0,1,0,1,0,1
37,13,6.0,36,1.8,1780,-7.9,1.12,0.0,0.0,606,0,0,0,1,0,1,0,1
38,14,7.3,35,1.3,1955,-7.1,0.99,0.0,0.0,611,0,0,0,1,0,1,0,1
39,15,7.6,41,2.3,1953,-4.8,0.74,0.0,0.0,589,0,0,0,1,0,1,0,1
40,16,6.4,48,2.6,1945,-3.8,0.22,0.0,0.0,618,0,0,0,1,0,1,0,1
41,17,6.0,51,2.5,1891,-3.3,0.06,0.0,0.0,572,0,0,0,1,0,1,0,1
42,18,5.5,53,1.5,1697,-3.3,0.0,0.0,0.0,489,0,0,0,1,0,1,0,1
43,19,5.0,52,2.3,1666,-4.0,0.0,0.0,0.0,385,0,0,0,1,0,1,0,1
44,20,4.6,51,1.2,1585,-4.6,0.0,0.0,0.0,359,0,0,0,1,0,1,0,1
45,21,4.1,55,1.2,1448,-4.1,0.0,0.0,0.0,377,0,0,0,1,0,1,0,1
46,22,3.5,54,1.5,1446,-4.9,0.0,0.0,0.0,354,0,0,0,1,0,1,0,1
47,23,4.0,56,1.0,1352,-4.0,0.0,0.0,0.0,366,0,0,0,1,0,1,0,1
